V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0.166666667,0.125,0.5,0.5,0.04,0.2,0.138095238,0.166666667,0.156716418,0.163265306,0.147368421,0.147368421,0.208333333,0.191919192,0.142857143,0.197278912,0.135245902,0.196891192,0.186046512,0.171428571,0.244897959,0.15,0.258064516
0.222222222,0.333333333,0.4,0.333333333,0.333333333,0.3,0.1375,0.135416667,0.157692308,0.121794872,0.155339806,0.13253012,0.191489362,0.155339806,0.147368421,0.166666667,0.134615385,0.133858268,0.155251142,0.231481481,0.183098592,0.222222222,0.159090909,0.136363636
0.25,0.428571429,0.166666667,1,0.222222222,0.16,0.1,0.138248848,0.119047619,0.1640625,0.25,0.265957447,0.174418605,0.18,0.193548387,0.097744361,0.100591716,0.151785714,0.164251208,0.238095238,0.209302326,0.139534884,0.205128205,0.379310345
0.25,0.375,0,0,0.428571429,0.28,0.181818182,0.1640625,0.158415842,0.162337662,0.245901639,0.11965812,0.203703704,0.119402985,0.201680672,0.128787879,0.124293785,0.166077739,0.151515152,0.181818182,0.232876712,0.254901961,0.176470588,0.19047619
0.142857143,0.25,0,0.666666667,0,0.222222222,0.12,0.165,0.170731707,0.162921348,0.182608696,0.236842105,0.23853211,0.255102041,0.217391304,0.137614679,0.162337662,0.1875,0.207070707,0.167938931,0.115942029,0.318181818,0.291666667,0.24137931
0.25,0.25,0,0,0.4,0.366666667,0.283950617,0.148717949,0.130081301,0.151724138,0.20952381,0.147540984,0.169491525,0.169811321,0.217391304,0.118110236,0.119047619,0.1875,0.220512821,0.141791045,0.215384615,0.25,0.366666667,0.111111111
0.3,0,1,0.75,0,0.210526316,0.224719101,0.177419355,0.2,0.118055556,0.156521739,0.173913043,0.177966102,0.159663866,0.188679245,0.188679245,0.147651007,0.200819672,0.181818182,0.166666667,0.245901639,0.318181818,0.086956522,0.285714286
0.363636364,0.5,0.666666667,0,0.5,0.130434783,0.175824176,0.169398907,0.204545455,0.12173913,0.247311828,0.244897959,0.147540984,0.178861789,0.227722772,0.192982456,0.179012346,0.148648649,0.17721519,0.201680672,0.166666667,0.205882353,0.324324324,0.416666667
0.222222222,0,0.333333333,0,0.285714286,0.24137931,0.177777778,0.185185185,0.155555556,0.202797203,0.198275862,0.188118812,0.137096774,0.153846154,0.141509434,0.175572519,0.19375,0.211711712,0.198113208,0.274193548,0.196428571,0.191489362,0.2,0.217391304
0.25,0,0,1,1,0.08,0.261904762,0.184210526,0.131455399,0.234482759,0.222222222,0.333333333,0.223214286,0.259259259,0.271186441,0.18699187,0.148387097,0.164251208,0.177514793,0.20610687,0.166666667,0.107142857,0.206896552,0.444444444
0,0,0,0,1,0.484848485,0.208955224,0.232142857,0.239819005,0.223140496,0.259615385,0.252252252,0.230769231,0.210084034,0.17699115,0.173553719,0.225,0.160427807,0.165775401,0.218181818,0.205479452,0.12,0.071428571,0.157894737
0.2,0,NA,0,0,0.260869565,0.2,0.183783784,0.17,0.224,0.177083333,0.196078431,0.20212766,0.214953271,0.229357798,0.198198198,0.183006536,0.173515982,0.248484848,0.237623762,0.230769231,0.214285714,0.130434783,0.166666667
0.5,0,NA,NA,1,0.55,0.202380952,0.189349112,0.148148148,0.19047619,0.2,0.309090909,0.188118812,0.188679245,0.229357798,0.190909091,0.18404908,0.208333333,0.179310345,0.229166667,0.166666667,0.058823529,0.227272727,0.25
0.545454545,0,0,NA,0.333333333,0.294117647,0.172839506,0.204678363,0.148148148,0.229508197,0.257425743,0.20952381,0.185840708,0.192771084,0.203703704,0.212962963,0.210884354,0.174528302,0.235294118,0.264705882,0.253968254,0.181818182,0.290322581,0.2
0.230769231,0,0.5,1,0,0.214285714,0.147540984,0.198473282,0.178571429,0.254385965,0.290697674,0.166666667,0.217391304,0.246376812,0.214285714,0.170731707,0.137096774,0.194805195,0.180451128,0.212765957,0.210526316,0.263157895,0.105263158,0.428571429
0.25,0.6,0.666666667,NA,0.333333333,0.363636364,0.316666667,0.2,0.20610687,0.1875,0.296296296,0.220779221,0.147727273,0.2625,0.313953488,0.284090909,0.285714286,0.195945946,0.18556701,0.25,0.097560976,0.347826087,0.263157895,0.2
0.4,0,0.333333333,NA,0.5,0.294117647,0.318181818,0.221153846,0.217741935,0.195121951,0.186666667,0.2,0.219512195,0.132352941,0.180722892,0.231884058,0.288135593,0.196850394,0.223140496,0.25,0.204545455,0.130434783,0.4375,0.2
0.5,NA,0.5,NA,0.666666667,0.368421053,0.2,0.166666667,0.145454545,0.223684211,0.233766234,0.2,0.228571429,0.347222222,0.287671233,0.292307692,0.170731707,0.25862069,0.216494845,0.272727273,0.242424242,0.307692308,0.238095238,0.454545455
0.2,0,NA,NA,0,0.111111111,0.14,0.230769231,0.235294118,0.213483146,0.246575342,0.2,0.371428571,0.157894737,0.176470588,0.210526316,0.208333333,0.196850394,0.276315789,0.130434783,0.2,0.083333333,0.352941176,0.2
0.333333333,0,0,0.666666667,0,0.071428571,0.243902439,0.268292683,0.225225225,0.240506329,0.254545455,0.290322581,0.26,0.269230769,0.25862069,0.235294118,0.220930233,0.23655914,0.204301075,0.204545455,0.291666667,0.384615385,0.25,0.571428571
0.285714286,1,0,NA,0,0.1,0.193548387,0.246575342,0.256097561,0.180327869,0.215686275,0.25,0.358490566,0.352941176,0.238095238,0.115384615,0.166666667,0.270588235,0.196078431,0.319148936,0.285714286,0.157894737,0.285714286,0.428571429
0,0,0,0,NA,0.111111111,0.24,0.184615385,0.151898734,0.270833333,0.326923077,0.333333333,0.192307692,0.196078431,0.156862745,0.215686275,0.305084746,0.220779221,0.301369863,0.371428571,0.173913043,0.3,0.2,0.3
0,NA,NA,0,NA,0.3,0.407407407,0.241935484,0.223684211,0.25862069,0.288135593,0.1875,0.139534884,0.271186441,0.363636364,0.153846154,0.204081633,0.276923077,0.206896552,0.333333333,0.5,0.2,0.5,0.428571429
0.25,0.5,NA,NA,0.5,0.333333333,0.25,0.196428571,0.160714286,0.232142857,0.055555556,0.315789474,0.265306122,0.270833333,0.298245614,0.210526316,0.295081967,0.235294118,0.106382979,0.166666667,0.272727273,0,0.444444444,0.2
NA,1,1,0.666666667,0.5,0,0.52173913,0.304347826,0.204081633,0.18,0.209302326,0.217391304,0.326923077,0.285714286,0.153846154,0.292682927,0.269230769,0.173913043,0.214285714,0.315789474,0.25,0.571428571,0,0.333333333
NA,NA,0,NA,NA,0.5,0.3,0.324324324,0.125,0.166666667,0.177777778,0.195121951,0.387755102,0.171428571,0.333333333,0.363636364,0.159090909,0.166666667,0.133333333,0.214285714,0.416666667,0.25,0,0
0,NA,NA,0,NA,0.285714286,0.3,0.192307692,0.2,0.272727273,0.257142857,0.214285714,0.175,0.282608696,0.365853659,0.170731707,0.264705882,0.323529412,0.285714286,0.476190476,0.375,0,0.285714286,0.4
0,NA,NA,NA,NA,0.5,0,0.318181818,0.194444444,0.153846154,0.272727273,0.31372549,0.243902439,0.448275862,0.325,0.341463415,0.227272727,0.219512195,0.28,0.214285714,0.4,0.166666667,0.285714286,0.166666667
0,NA,NA,NA,0.5,0.333333333,0.428571429,0.35,0.214285714,0.255813953,0.3,0.344827586,0.428571429,0.275862069,0.314285714,0.297297297,0.346153846,0.225806452,0.357142857,0.266666667,0.25,0.4,0,0.5
1,0,NA,NA,NA,1,0,0.235294118,0.230769231,0.361111111,0.380952381,0.255813953,0.30952381,0.275862069,0.470588235,0.333333333,0.166666667,0.416666667,0.357142857,0.333333333,0.25,0.571428571,0,0.5
NA,NA,NA,NA,NA,NA,0.25,0.214285714,0.346153846,0.324324324,0.333333333,0.342857143,0.289473684,0.137931034,0.384615385,0.227272727,0.071428571,0.210526316,0.266666667,0.166666667,0,0.333333333,0.333333333,0.5
0,0,0,NA,0,NA,0,0.3,0.363636364,0.384615385,0.351351351,0.310344828,0.032258065,0.238095238,0.4,0.2,0.4,0.454545455,0.090909091,0,0.333333333,0,1,0
NA,NA,NA,NA,NA,0,0.142857143,0,0.083333333,0.407407407,0.3,0.21875,0.05,0.392857143,0.3,0.208333333,0.636363636,0.4,0.5,0.6,0.25,1,0,0
1,NA,NA,NA,0,0,0.5,0,0.214285714,0.208333333,0.324324324,0.394736842,0.34375,0.363636364,0.25,0.15,0.411764706,0.153846154,0.25,0,0.333333333,0,NA,0
NA,NA,NA,NA,NA,NA,NA,0.25,0.5,0.434782609,0.391304348,0.36,0.352941176,0.266666667,0.421052632,0.333333333,0.35,0.357142857,0.8,0.5,0,1,0.5,1
NA,NA,0,NA,NA,0,0,0.166666667,0.277777778,0.2,0.291666667,0.166666667,0.36,0.266666667,0.192307692,0.173913043,0.25,0.25,0.333333333,0.333333333,0,NA,NA,NA
NA,NA,NA,NA,NA,0,1,0.25,0.375,0.291666667,0.318181818,0.428571429,0.260869565,0.25,0.25,0.2,0.153846154,0.25,0.5,0,0,0.666666667,NA,NA
NA,NA,NA,NA,NA,1,0.5,0.6,0.5,0.473684211,0.416666667,0.333333333,0.294117647,0.222222222,0.368421053,0.238095238,0.375,0.272727273,0.333333333,0,0.666666667,0,1,NA
NA,NA,NA,0,NA,NA,0.5,0.285714286,0.142857143,0.428571429,0.25,0.428571429,0.391304348,0.333333333,0.5,0.307692308,0.454545455,0.111111111,0.428571429,0,1,NA,0,1
NA,NA,NA,NA,NA,NA,0,0,0.4,0.230769231,0.333333333,0.315789474,0.1875,0.333333333,0.222222222,0.333333333,0.1,0.428571429,0,0,0,0.5,0,NA
NA,NA,NA,NA,NA,NA,1,0.142857143,0.375,0.333333333,0.222222222,0.25,0.461538462,0.416666667,0.1875,0.333333333,0.0625,0,0,0.666666667,0,NA,0,NA
