V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0,0,0,NA,0,0,0,0.363636364,0,0.2,0,0.131578947,0.047619048,0,0.051282051,0.027027027,0.046511628,0.173913043,0.043478261,0,0.166666667,0,0.2,0
NA,0,0,NA,0,0,0.333333333,0,0.086956522,0.04,0.074074074,0.037037037,0,0.08,0,0.038461538,0.114285714,0.076923077,0.142857143,0.076923077,0,0,0.4,0.333333333
0,NA,0,0.5,0,0.666666667,0,0,0.05,0.05,0.107142857,0.074074074,0.045454545,0.071428571,0.068965517,0.115384615,0.192307692,0.111111111,0.071428571,0,0.076923077,0.142857143,0,0
0,0,0,NA,0,NA,0.166666667,0,0.125,0.052631579,0.043478261,0.045454545,0.043478261,0.117647059,0.086956522,0.117647059,0.032258065,0.076923077,0.153846154,0.2,0.166666667,0.1,0,0.142857143
0,1,0,NA,NA,0.5,0.25,0,0,0.097560976,0.045454545,0.064935065,0.061538462,0.013513514,0.029411765,0.02,0.048387097,0.105263158,0,0,0.0625,0.25,0,0
0.25,0,NA,NA,0,NA,0,0.090909091,0,0.090909091,0.172413793,0.125,0.114285714,0,0.113636364,0.166666667,0,0.058823529,0,0,0.1,0.222222222,0,0
0,NA,0,NA,0,0.25,0,0.3,0.15,0.2,0.08,0.048780488,0,0.02173913,0.023809524,0.047619048,0.076923077,0.055555556,0,0.090909091,0.111111111,0,0,0.142857143
0,NA,1,0,NA,0,1,0,0,0.15,0.162162162,0.033333333,0.11627907,0.078947368,0.060606061,0.176470588,0.071428571,0.117647059,0.142857143,0,0,0,0.142857143,0.2
0,0,0,0,0,0,0,0.166666667,0.2,0,0.09375,0.0625,0.14893617,0.114285714,0.0625,0.069767442,0.083333333,0.037037037,0,0,0.1,0.125,0.4,0.5
NA,1,0,NA,NA,0,0,0.25,0.090909091,0.0625,0.015151515,0.048192771,0.058139535,0.031746032,0.02,0.106060606,0.1,0.119047619,0.074074074,0.133333333,0.333333333,0,0.285714286,0.5
0,0,NA,NA,NA,NA,0,0,0,0.047619048,0.078947368,0.1,0.025,0.055555556,0.210526316,0.034482759,0,0.105263158,0.153846154,0.083333333,0,0.25,0,0
0,0,0,NA,NA,0,NA,0.25,0.133333333,0.1875,0.097560976,0.055555556,0.083333333,0.105263158,0.06,0.040816327,0.074074074,0.068965517,0.055555556,0.142857143,0,0,0,0
0,NA,0,NA,0,NA,0,NA,0,0.125,0.088235294,0.05,0.098039216,0.159090909,0.139534884,0.194444444,0.133333333,0.08,0.066666667,0,0,0,NA,1
0,NA,NA,NA,0,NA,0,0,0,0.153846154,0.117647059,0.1,0.166666667,0.068181818,0.2,0.113636364,0.148148148,0.071428571,0,0.25,0.2,0,0,0.666666667
0,0,NA,NA,NA,0,NA,0.25,0.1,0.034482759,0.080645161,0.035087719,0.054347826,0.048192771,0.092307692,0.1,0.017857143,0.096774194,0.071428571,0.090909091,0,0.2,0,0
0,0.5,NA,NA,NA,NA,NA,0,0.125,0.142857143,0.171428571,0,0.176470588,0.146341463,0.048780488,0.071428571,0.086956522,0.1,0,0,0,0.25,0,NA
0,0,NA,0,NA,0,NA,0,0.6,0.142857143,0.125,0.058823529,0.146341463,0.125,0.076923077,0.088235294,0.125,0.166666667,0,0.125,0,0.111111111,0,0
NA,NA,0.666666667,NA,NA,NA,0,0,0,0.071428571,0.193548387,0.184210526,0.155555556,0.048780488,0.111111111,0.093023256,0.235294118,0.041666667,0.071428571,0,0.333333333,0,NA,0
NA,NA,0,NA,NA,NA,0,NA,0,0.142857143,0.102564103,0.023255814,0.033333333,0.071428571,0.166666667,0.05,0.034482759,0.176470588,0.125,0,0,0,0.333333333,0
NA,0,NA,NA,0,NA,NA,NA,0.071428571,0.043478261,0.097560976,0.053571429,0.066666667,0.06557377,0.134615385,0.142857143,0.193548387,0,0.166666667,0,1,0,0,NA
